NPROC,NINPUT,STRATEGIA,TEMPO
8,100000000,2,0.13169
8,100000000,2,0.131407
8,100000000,2,0.131533
8,100000000,3,0.131757
8,100000000,3,0.131687
8,200000000,1,0.261554
8,200000000,1,0.2615
8,200000000,1,0.261778
8,200000000,1,0.262053
8,200000000,1,0.261939
8,200000000,1,0.261492
8,200000000,1,0.261804
8,200000000,1,0.261751
8,200000000,2,0.26168
8,200000000,2,0.261647
8,200000000,2,0.239458
8,200000000,2,0.261782
8,200000000,2,0.262074
8,200000000,3,0.261725
8,200000000,3,0.261781
8,200000000,3,0.261786
8,200000000,3,0.261808
8,200000000,3,0.261767
8,200000000,3,0.261925
8,200000000,3,0.261806
8,300000000,1,0.391866
8,300000000,1,0.391964
8,300000000,1,0.391536
8,300000000,1,0.391863
8,300000000,2,0.392031
8,300000000,2,0.392588
8,300000000,2,0.391757
8,300000000,3,0.391747
8,300000000,3,0.39215
8,300000000,3,0.391629
8,400000000,1,0.522048
8,400000000,1,0.523212
8,400000000,1,0.521544
8,400000000,2,0.521738
8,400000000,2,0.522036
8,400000000,2,0.521633
8,400000000,2,0.52176
8,400000000,3,0.522781
8,400000000,3,0.521701
8,400000000,3,0.5226
8,400000000,3,0.522604
8,500000000,1,0.652013
8,500000000,1,0.652279
8,500000000,1,0.652491
8,500000000,1,0.652374
8,500000000,2,0.592274
8,500000000,2,0.65186
8,500000000,2,0.652682
8,500000000,2,0.65267
8,500000000,2,0.65317
8,500000000,2,0.655269
8,500000000,3,0.652173
8,500000000,3,0.652907
8,500000000,3,0.652395
8,500000000,3,0.652242
8,500000000,3,0.652245
8,500000000,3,0.651982
16,200000000,1,0.056827
16,200000000,1,0.056119
16,200000000,2,0.056136
16,200000000,2,0.056069
16,200000000,3,0.05639
16,200000000,3,0.05639
32,100000000,1,0.019347
32,100000000,1,0.019407
32,100000000,2,0.018429
32,100000000,2,0.017832
32,200000000,1,0.034679
32,200000000,1,0.034574
32,200000000,2,0.035156
32,200000000,2,0.042017
32,200000000,2,0.042017
32,200000000,3,0.034461
32,200000000,3,0.034338
64,100000000,1,0.018173
64,100000000,1,0.018289
64,200000000,1,0.034554
64,200000000,1,0.034827
64,200000000,1,0.034943
64,200000000,2,0.034541
64,200000000,3,0.034598
8,10000,1,0.000226
6,12,1,0.000311
8,1000,2,0.000212
8,1000,2,0.000245
8,1000,2,0.000215
16,1000,2,0.000579
16,1000,2,0.000494
8,200000000,2,0.261995
48,200000000,1,0.037246
